provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
3,1,0300100001,030010000100001,0300100001X,electores,197
3,1,0300100001,030010000100001,0300100001X,sobres,197
3,1,0300100001,030010000100001,0300100001X,nulos,0
3,1,0300100001,030010000100001,0300100001X,recurridos,0
3,1,0300100001,030010000100001,0300100001X,blancos,0
3,1,0300100001,030010000100001,0300100001X,impugnados,0
3,1,0300100001,030010000100001,0300100001X,totalVotos,177
3,1,0300100001,030010000100001,0300100001X,afirmativos,177
3,1,0300100001,030010000100001,0300100001X,abstencion,141
3,1,0300100001,030010000100001,0300100001X,valid,177
3,1,0300100001,030010000100001,0300100001X,97-5,59
3,1,0300100001,030010000100001,0300100001X,97-1,41
3,1,0300100001,030010000100001,0300100001X,96-1,49
3,1,0300100001,030010000100001,0300100001X,95-1,9
3,1,0300100001,030010000100001,0300100001X,98-2,6
3,1,0300100001,030010000100001,0300100001X,98-1,1
3,1,0300100001,030010000100001,0300100001X,90-1,7
3,1,0300100001,030010000100001,0300100001X,91-1,5
3,1,0300100001,030010000100001,0300100002X,electores,178
3,1,0300100001,030010000100001,0300100002X,sobres,178
3,1,0300100001,030010000100001,0300100002X,nulos,0
3,1,0300100001,030010000100001,0300100002X,recurridos,0
3,1,0300100001,030010000100001,0300100002X,blancos,0
3,1,0300100001,030010000100001,0300100002X,impugnados,0
3,1,0300100001,030010000100001,0300100002X,totalVotos,168
3,1,0300100001,030010000100001,0300100002X,afirmativos,168
3,1,0300100001,030010000100001,0300100002X,abstencion,154
3,1,0300100001,030010000100001,0300100002X,valid,168
3,1,0300100001,030010000100001,0300100002X,97-5,59
3,1,0300100001,030010000100001,0300100002X,97-1,40
3,1,0300100001,030010000100001,0300100002X,96-1,46
3,1,0300100001,030010000100001,0300100002X,98-2,6
3,1,0300100001,030010000100001,0300100002X,98-1,3
3,1,0300100001,030010000100001,0300100002X,91-1,7
3,1,0300100001,030010000100001,0300100002X,95-1,6
3,1,0300100001,030010000100001,0300100002X,90-1,1
3,1,0300100001,030010000100001,0300100003X,electores,180
3,1,0300100001,030010000100001,0300100003X,sobres,179
3,1,0300100001,030010000100001,0300100003X,nulos,5
3,1,0300100001,030010000100001,0300100003X,recurridos,0
3,1,0300100001,030010000100001,0300100003X,blancos,12
3,1,0300100001,030010000100001,0300100003X,impugnados,0
3,1,0300100001,030010000100001,0300100003X,totalVotos,179
3,1,0300100001,030010000100001,0300100003X,afirmativos,162
3,1,0300100001,030010000100001,0300100003X,abstencion,140
3,1,0300100001,030010000100001,0300100003X,valid,174
3,1,0300100001,030010000100001,0300100003X,97-5,53
3,1,0300100001,030010000100001,0300100003X,97-1,28
3,1,0300100001,030010000100001,0300100003X,96-1,52
3,1,0300100001,030010000100001,0300100003X,98-2,11
3,1,0300100001,030010000100001,0300100003X,98-1,2
3,1,0300100001,030010000100001,0300100003X,91-1,8
3,1,0300100001,030010000100001,0300100003X,95-1,6
3,1,0300100001,030010000100001,0300100003X,90-1,2
3,1,0300100001,030010000100001,0300100004X,electores,181
3,1,0300100001,030010000100001,0300100004X,sobres,181
3,1,0300100001,030010000100001,0300100004X,nulos,5
3,1,0300100001,030010000100001,0300100004X,recurridos,0
3,1,0300100001,030010000100001,0300100004X,blancos,7
3,1,0300100001,030010000100001,0300100004X,impugnados,0
3,1,0300100001,030010000100001,0300100004X,totalVotos,181
3,1,0300100001,030010000100001,0300100004X,afirmativos,169
3,1,0300100001,030010000100001,0300100004X,abstencion,140
3,1,0300100001,030010000100001,0300100004X,valid,176
3,1,0300100001,030010000100001,0300100004X,97-5,55
3,1,0300100001,030010000100001,0300100004X,97-1,33
3,1,0300100001,030010000100001,0300100004X,96-1,64
3,1,0300100001,030010000100001,0300100004X,98-1,4
3,1,0300100001,030010000100001,0300100004X,98-2,4
3,1,0300100001,030010000100001,0300100004X,95-1,6
3,1,0300100001,030010000100001,0300100004X,91-1,2
3,1,0300100001,030010000100001,0300100004X,90-1,1
3,1,0300100001,030010000100001,0300100005X,electores,172
3,1,0300100001,030010000100001,0300100005X,sobres,172
3,1,0300100001,030010000100001,0300100005X,nulos,2
3,1,0300100001,030010000100001,0300100005X,recurridos,0
3,1,0300100001,030010000100001,0300100005X,blancos,14
3,1,0300100001,030010000100001,0300100005X,impugnados,2
3,1,0300100001,030010000100001,0300100005X,totalVotos,172
3,1,0300100001,030010000100001,0300100005X,afirmativos,154
3,1,0300100001,030010000100001,0300100005X,abstencion,147
3,1,0300100001,030010000100001,0300100005X,valid,168
3,1,0300100001,030010000100001,0300100005X,97-5,47
3,1,0300100001,030010000100001,0300100005X,97-1,33
3,1,0300100001,030010000100001,0300100005X,96-1,57
3,1,0300100001,030010000100001,0300100005X,95-1,6
3,1,0300100001,030010000100001,0300100005X,98-2,5
3,1,0300100001,030010000100001,0300100005X,98-1,0
3,1,0300100001,030010000100001,0300100005X,90-1,4
3,1,0300100001,030010000100001,0300100005X,91-1,2
3,1,0300100001,030010000100001,0300100006X,electores,179
3,1,0300100001,030010000100001,0300100006X,sobres,179
3,1,0300100001,030010000100001,0300100006X,nulos,1
3,1,0300100001,030010000100001,0300100006X,recurridos,0
3,1,0300100001,030010000100001,0300100006X,blancos,11
3,1,0300100001,030010000100001,0300100006X,impugnados,0
3,1,0300100001,030010000100001,0300100006X,totalVotos,179
3,1,0300100001,030010000100001,0300100006X,afirmativos,167
3,1,0300100001,030010000100001,0300100006X,abstencion,139
3,1,0300100001,030010000100001,0300100006X,valid,178
3,1,0300100001,030010000100001,0300100006X,97-5,62
3,1,0300100001,030010000100001,0300100006X,97-1,35
3,1,0300100001,030010000100001,0300100006X,96-1,47
3,1,0300100001,030010000100001,0300100006X,98-2,8
3,1,0300100001,030010000100001,0300100006X,98-1,6
3,1,0300100001,030010000100001,0300100006X,95-1,5
3,1,0300100001,030010000100001,0300100006X,91-1,3
3,1,0300100001,030010000100001,0300100006X,90-1,1
3,1,0300100001,030010000100001,0300100007X,electores,193
3,1,0300100001,030010000100001,0300100007X,sobres,193
3,1,0300100001,030010000100001,0300100007X,nulos,7
3,1,0300100001,030010000100001,0300100007X,recurridos,0
3,1,0300100001,030010000100001,0300100007X,blancos,3
3,1,0300100001,030010000100001,0300100007X,impugnados,0
3,1,0300100001,030010000100001,0300100007X,totalVotos,187
3,1,0300100001,030010000100001,0300100007X,afirmativos,177
3,1,0300100001,030010000100001,0300100007X,abstencion,134
3,1,0300100001,030010000100001,0300100007X,valid,180
3,1,0300100001,030010000100001,0300100007X,97-5,57
3,1,0300100001,030010000100001,0300100007X,97-1,30
3,1,0300100001,030010000100001,0300100007X,96-1,58
3,1,0300100001,030010000100001,0300100007X,95-1,17
3,1,0300100001,030010000100001,0300100007X,98-1,7
3,1,0300100001,030010000100001,0300100007X,98-2,5
3,1,0300100001,030010000100001,0300100007X,91-1,2
3,1,0300100001,030010000100001,0300100007X,90-1,1
3,1,0300100002,030010000200002,0300100008X,electores,234
3,1,0300100002,030010000200002,0300100008X,sobres,234
3,1,0300100002,030010000200002,0300100008X,nulos,1
3,1,0300100002,030010000200002,0300100008X,recurridos,0
3,1,0300100002,030010000200002,0300100008X,blancos,15
3,1,0300100002,030010000200002,0300100008X,impugnados,0
3,1,0300100002,030010000200002,0300100008X,totalVotos,234
3,1,0300100002,030010000200002,0300100008X,afirmativos,218
3,1,0300100002,030010000200002,0300100008X,abstencion,109
3,1,0300100002,030010000200002,0300100008X,valid,233
3,1,0300100002,030010000200002,0300100008X,96-1,114
3,1,0300100002,030010000200002,0300100008X,97-5,54
3,1,0300100002,030010000200002,0300100008X,97-1,29
3,1,0300100002,030010000200002,0300100008X,91-1,8
3,1,0300100002,030010000200002,0300100008X,98-1,4
3,1,0300100002,030010000200002,0300100008X,98-2,4
3,1,0300100002,030010000200002,0300100008X,95-1,4
3,1,0300100002,030010000200002,0300100008X,90-1,1
3,1,0300100002,030010000200002,0300100009X,electores,223
3,1,0300100002,030010000200002,0300100009X,sobres,223
3,1,0300100002,030010000200002,0300100009X,nulos,8
3,1,0300100002,030010000200002,0300100009X,recurridos,0
3,1,0300100002,030010000200002,0300100009X,blancos,11
3,1,0300100002,030010000200002,0300100009X,impugnados,0
3,1,0300100002,030010000200002,0300100009X,totalVotos,223
3,1,0300100002,030010000200002,0300100009X,afirmativos,204
3,1,0300100002,030010000200002,0300100009X,abstencion,120
3,1,0300100002,030010000200002,0300100009X,valid,215
3,1,0300100002,030010000200002,0300100009X,96-1,91
3,1,0300100002,030010000200002,0300100009X,97-5,57
3,1,0300100002,030010000200002,0300100009X,97-1,25
3,1,0300100002,030010000200002,0300100009X,95-1,18
3,1,0300100002,030010000200002,0300100009X,98-2,9
3,1,0300100002,030010000200002,0300100009X,98-1,1
3,1,0300100002,030010000200002,0300100009X,90-1,2
3,1,0300100002,030010000200002,0300100009X,91-1,1
3,1,0300100002,030010000200002,0300100010X,electores,220
3,1,0300100002,030010000200002,0300100010X,sobres,0
3,1,0300100002,030010000200002,0300100010X,nulos,4
3,1,0300100002,030010000200002,0300100010X,recurridos,0
3,1,0300100002,030010000200002,0300100010X,blancos,16
3,1,0300100002,030010000200002,0300100010X,impugnados,0
3,1,0300100002,030010000200002,0300100010X,totalVotos,220
